size,structure,representation,duration_s,mem_bytes
100,lista,linear,0.000006,0
100,lista,dinamica,0.000022,0
100,pilha,linear,0.000007,0
100,pilha,dinamica,0.000010,0
100,fila,linear,0.000005,0
100,fila,dinamica,0.000007,0
1000,lista,linear,0.000041,0
1000,lista,dinamica,0.001655,26214
1000,pilha,linear,0.000043,0
1000,pilha,dinamica,0.000088,0
1000,fila,linear,0.000046,0
1000,fila,dinamica,0.000065,0
10000,lista,linear,0.000393,26214
10000,lista,dinamica,0.189544,52428
10000,pilha,linear,0.000405,0
10000,pilha,dinamica,0.000884,0
10000,fila,linear,0.000469,0
10000,fila,dinamica,0.000647,0
100000,lista,linear,0.004380,165478
100000,lista,dinamica,19.041681,547225
100000,pilha,linear,0.004187,0
100000,pilha,dinamica,0.009603,0
100000,fila,linear,0.004891,0
100000,fila,dinamica,0.007110,0
